"Name","Median relative abundance","Relative abundance lower confidence","Relative abundance upper confidence","Median actual abundance","Actual abundance lower confidence","Actual abundance upper confidence","Percent abundance change","Percent abundance lower confidence","Percent abundance upper confidence"
"Mantids",0.54,0.54,0.54,40.24,40.24,40.24,1,0,0
"Inv. Predators",0.4657504575675129,0.4555519358375867,0.47590511527701096,4.66,4.56,4.76,-0.07042552514278413,-0.09078038540621566,-0.05015821148954281
"Songbirds",0.5393552515594294,0.5335260751475702,0.5452925476920992,6.94,6.8,7.09,-0.0117627058566258,-0.022443253617465284,-0.0008840550087606431
"Sm. Mammals",0.5147201445540517,0.5096524587783304,0.5198774113080373,21.18,20.77,21.59,-0.002858091301025003,-0.012675468608974314,0.0071328268107858795
"Inv. Herbivores",0.4654411464302495,0.4547779283877275,0.4759871809006265,13.31,13.1,13.52,-0.0435424402380434,-0.06545480356557018,-0.021870883109791302
"Pollinators",0.5036158083356821,0.4903525612805007,0.5163832932935958,9.05,8.88,9.23,-0.03916963177821651,-0.0644741006628631,-0.014811009450774551
"Shrub",0.4808024019646542,0.4752796988943339,0.48627632873291693,3.8,3.8,3.9,-0.011087315678431912,-0.022446391872029774,0.00017143758915335415
"Exotic Forb",0.4963595071019729,0.4932882641023478,0.4991730486564272,11.9,11.8,12,-0.01039353890652061,-0.01651676586708075,-0.004784098851470066
"Native Forb",0.4902736995018011,0.48434296224384005,0.4960416986949184,15.7,15.5,15.9,-0.010781991282904753,-0.022748352330838054,0.000856015573052035
"Native Grass",0.5090200911633438,0.5078446086826371,0.510133392144605,25.7,25.6,25.8,0.00535119757363313,0.0030295353441436006,0.007550046880765253
"Exotic Grass",0.4858723584770659,0.48530339031662584,0.48620992703967314,16,16,16,0.0006969950048693296,-0.00047484512653977226,0.001392247246153461
